RN,RN_CD,geometry
남산로58번길,4310061,"0    LINESTRING (129.2766649022668 35.5511387740305...
Name: geometry, dtype: object"
남산로62번길,4310062,"0    LINESTRING (129.277205178496 35.55128144024016...
Name: geometry, dtype: object"
남산로66번길,4310063,"0    LINESTRING (129.2773507102083 35.5508105242986...
Name: geometry, dtype: object"
남산로68번길,4310064,"0    LINESTRING (129.2777039184261 35.5507187752294...
Name: geometry, dtype: object"
남중로105번길,4310065,"0    LINESTRING (129.3481655760974 35.5437450583696...
Name: geometry, dtype: object"
남중로106번길,4310066,"0    LINESTRING (129.3481598177734 35.5436984961490...
Name: geometry, dtype: object"
남중로108번길,4310067,"0    LINESTRING (129.3481922764239 35.5439608320429...
Name: geometry, dtype: object"
남중로126번길,4310069,"0    LINESTRING (129.3483954822007 35.5455865027212...
Name: geometry, dtype: object"
남중로74번길,4310070,"0    LINESTRING (129.3478616556148 35.5409524934064...
Name: geometry, dtype: object"
남중로80번길,4310071,"0    LINESTRING (129.347915891134 35.54146102708525...
Name: geometry, dtype: object"
남중로94번길,4310072,"0    LINESTRING (129.348054631689 35.54276190529337...
Name: geometry, dtype: object"
남창로1길,4310073,"0    LINESTRING (129.3012894482752 35.5007172224607...
Name: geometry, dtype: object"
남창로3길,4310074,"0    LINESTRING (129.3028552902931 35.5016536104553...
Name: geometry, dtype: object"
남창로5길,4310075,"0    LINESTRING (129.3061265540112 35.5027326690521...
Name: geometry, dtype: object"
눌재로22번길,4310078,"0    LINESTRING (129.2786245240295 35.5498381634786...
Name: geometry, dtype: object"
눌재로4번길,4310079,"0    LINESTRING (129.2777032680291 35.5484198302394...
Name: geometry, dtype: object"
눌재로8번길,4310080,"0    LINESTRING (129.2783513642521 35.5485565031423...
Name: geometry, dtype: object"
달삼로10번길,4310081,"0    LINESTRING (129.3305602656173 35.5345063244395...
Name: geometry, dtype: object"
달삼로10번길,4310081,"0    LINESTRING (129.3302101913303 35.5353204806139...
Name: geometry, dtype: object"
달삼로23번길,4310082,"0    LINESTRING (129.331648867498 35.53559077828021...
Name: geometry, dtype: object"
달삼로24번길,4310083,"0    LINESTRING (129.3318490871883 35.5356283997756...
Name: geometry, dtype: object"
달삼로32번길,4310084,"0    LINESTRING (129.3329182882111 35.5350015004654...
Name: geometry, dtype: object"
달삼로32번길,4310084,"0    LINESTRING (129.3326751166371 35.5357835812050...
Name: geometry, dtype: object"
달삼로48번길,4310085,"0    LINESTRING (129.3342389257715 35.5360773614532...
Name: geometry, dtype: object"
달삼로4번길,4310086,"0    LINESTRING (129.3298514285956 35.5347727862665...
Name: geometry, dtype: object"
달삼로50번길,4310087,"0    LINESTRING (129.3347564248324 35.5356878174145...
Name: geometry, dtype: object"
달삼로58번길,4310088,"0    LINESTRING (129.3354636705476 35.5358215597023...
Name: geometry, dtype: object"
달삼로60번길,4310089,"0    LINESTRING (129.3356853532849 35.536349067599,...
Name: geometry, dtype: object"
달삼로72번길,4310090,"0    LINESTRING (129.3368408667765 35.5365661090740...
Name: geometry, dtype: object"
달삼로75번길,4310091,"0    LINESTRING (129.3374307260783 35.5366769037561...
Name: geometry, dtype: object"
달삼로76번길,4310092,"0    LINESTRING (129.3374307260783 35.5366769037561...
Name: geometry, dtype: object"
달삼로84번길,4310093,"0    LINESTRING (129.3380982316973 35.5368022690740...
Name: geometry, dtype: object"
대공원로107번길,4310095,"0    LINESTRING (129.2945164472502 35.5310931587736...
Name: geometry, dtype: object"
